Ph,Turbidity,Temperature,Conductivity,Label
8.24,680.3966188,19.58046195,324.1258442,1
8.22,620.7943839,25.36483618,309.7304067,1
8.39,472.7817232,17.50419664,344.861816,1
8.23,636.5419407,26.06650083,282.9467684,1
6.67,633.2247728,20.16817263,321.6684095,1
7.92,461.2832674,21.1423525,299.4192611,1
6.84,574.9098226,19.5700997,375.0060724,1
6.51,721.6777829,22.03292377,284.4217163,1
6.53,442.0957911,16.96796592,305.4580688,1
7.17,600.2690715,11.82154274,282.9156019,1
7.16,793.0301503,12.13760199,399.0762458,1
8.19,751.6038516,21.6558613,399.0110435,1
8.45,506.5762965,14.72562783,399.0228106,1
7.96,628.731947,26.91168554,327.202561,1
6.63,697.6001117,26.22886249,289.6070703,1
8.47,764.3381263,25.75106711,358.068203,1
7.95,797.5151674,23.03388963,333.7533708,1
6.6,760.081526,29.43131024,287.1480287,1
6.75,715.5142223,27.58348041,347.4411265,1
6.8,494.5025532,19.1926777,337.2522836,1
8.24,413.5574505,22.75661803,294.6652232,1
8.04,481.2559569,24.53545831,375.1416241,1
8,534.7063649,22.74569137,350.9164967,1
7,711.6364676,28.74593904,376.1485453,1
8.02,769.7467533,26.78894171,288.6457357,1
7.03,430.1913655,12.04442333,397.9879921,1
7.48,469.9084084,18.39786421,369.9181533,1
8.27,639.0848333,13.75093604,257.0203504,1
8.38,693.6054467,15.69277905,392.4183816,1
8.07,797.7412215,22.77065551,392.5452103,1
7.24,424.1157405,28.0185358,334.1930547,1
7.56,645.5636871,26.80435272,329.6544825,1
6.79,777.4861394,17.4001671,259.2370735,1
7.41,680.148045,23.3800208,347.6535674,1
7.28,490.5031954,18.70041982,304.9808677,1
7.97,544.6907492,12.01563995,396.4769488,1
6.84,493.5202242,22.84705042,301.8550179,1
7.76,439.1931711,12.4039714,350.3253836,1
7.62,575.5475997,26.11406542,291.6231262,1
6.79,725.1857022,27.9006715,380.5570407,1
8.25,590.3635536,18.92102966,303.90371,1
7.55,513.1090288,10.34059728,367.6364043,1
7.39,799.6819406,26.55931267,285.9187949,1
6.91,677.9397741,23.95498257,346.7020947,1
6.79,588.2410452,29.9679345,274.8419806,1
6.95,754.8410918,28.94816256,369.4288176,1
6.9,499.8794036,25.42555463,290.2655931,1
7.3,751.5402076,19.40633767,341.4936973,1
7.76,636.630067,23.99665358,299.0704424,1
6.51,712.7630135,11.04372905,341.1733409,1
6.9,612.0437095,18.53376508,332.2817647,1
8.28,595.9183757,29.96824273,333.016891,1
7.45,480.0546208,20.29019634,379.8929781,1
6.69,709.5723701,21.20042445,256.2826048,1
7.27,445.578763,10.7231719,347.0615128,1
8.13,609.4885268,12.08382837,319.1011804,1
6.87,450.2678606,29.82803348,369.1884864,1
7.19,434.2730212,19.97881419,395.9061023,1
8.22,412.3644267,21.07678935,264.6599012,1
7.33,461.2866234,20.24278929,311.6093474,1
6.8,506.3955343,17.36790642,303.8666412,1
6.6,598.3178344,28.4317932,371.767925,1
8.1,747.3933842,20.2083595,306.8807262,1
7.44,707.8625796,26.75055904,363.4176033,1
7.64,493.5321912,21.23090058,350.791834,1
6.7,411.4608136,10.67783111,387.8958528,1
6.79,657.1044899,19.39782781,396.0303721,1
7.5,548.3832912,15.32257001,329.1296027,1
7.59,521.5818355,25.47055859,259.0029004,1
6.66,640.381511,29.3978515,323.136944,1
7.64,596.0022323,14.7874706,365.0699688,1
7.88,549.0870553,27.48007216,312.7478826,1
8.43,707.5066212,18.89389465,288.0209492,1
7.96,587.0501876,27.31837218,284.0171789,1
7.85,493.047703,29.59582423,311.221681,1
6.5,733.0508625,28.57053598,310.2095472,1
7.17,423.4747095,24.23540852,361.5442076,1
6.8,794.5822243,25.9917226,251.8733307,1
6.82,526.9033268,28.4688189,331.9109207,1
7.05,551.4195264,12.09701642,324.5263055,1
6.95,444.3216072,24.52788244,379.9777209,1
7.59,501.522497,17.3561623,357.8204476,1
6.87,736.6162998,26.45699995,273.7720956,1
8.17,721.0378236,23.09804489,342.2541078,1
7.73,529.3620095,28.70673014,256.7440008,1
7.07,548.1044955,11.02039886,336.7255277,1
6.63,410.6455708,14.50696053,332.8158827,1
6.55,593.8301574,12.98325841,387.8005836,1
6.63,499.6227618,11.769223,395.8451752,1
7.91,589.1100061,27.52643261,307.5073993,1
7.9,412.1186404,21.36096037,347.1645122,1
8.26,659.1889569,13.42278024,255.0326854,1
8.15,715.3990002,16.09793144,284.0529332,1
7.32,568.1870099,18.45447719,390.5622595,1
8.01,796.8701574,18.16512459,310.3648533,1
8.2,610.4371158,13.48481955,307.8568127,1
6.7,716.7387161,24.0222136,338.1236926,1
8.47,577.5957089,21.5283223,354.1670261,1
8.18,494.4625054,26.66125215,258.6904631,1
7.68,754.3747012,25.70855033,310.9072474,1
7.6,493.4294078,14.28804706,284.9212058,1
7.74,493.3910719,24.3637719,298.5457279,1
7.03,626.4763131,19.46259465,261.7722085,1
7.63,539.3644736,27.88896735,360.5171765,1
7.51,710.9164026,10.07816805,253.2629671,1
8.47,673.6116581,15.18910311,287.0591724,1
7.6,463.2381119,22.77652887,343.2571175,1
7.82,597.1528154,16.2815734,335.2241678,1
7.98,655.8266174,28.00983274,309.7677252,1
8.45,618.6097985,26.88124567,386.1204633,1
7.67,726.0505635,13.73382401,396.0281998,1
7.53,732.2774375,29.62901541,288.7791285,1
6.62,688.6598525,16.94275339,392.6448993,1
7.4,634.9663805,22.02434749,299.8554216,1
6.66,644.9400999,29.76524831,328.3060045,1
8.33,590.7126742,18.37640987,393.2301542,1
7.44,744.8663611,26.01409598,326.7149007,1
7.15,771.1669922,28.28940463,263.8315641,1
7.76,454.1077897,12.98629934,340.7620529,1
8.43,503.810772,19.99454458,367.5243363,1
6.87,712.2615693,20.29405588,346.3746844,1
6.56,617.8481035,11.14875699,340.3990654,1
8.02,620.7107349,24.13798769,268.7759978,1
7.03,429.0808608,14.18296227,274.2277387,1
7.99,791.8909722,14.86441727,341.6651147,1
7.81,476.1018084,11.15042427,313.5170676,1
7.74,794.4827988,14.4288149,314.6160027,1
7.14,701.8398739,23.38390027,298.7359198,1
6.5,670.5826612,15.68221493,298.8178753,1
8.48,520.8607206,16.85497621,349.272986,1
7.11,457.2775345,12.64205885,289.9987751,1
8.19,617.0888659,11.62171398,316.724117,1
6.88,561.8565175,14.09000715,293.8415021,1
7.67,722.4005874,15.35397552,270.1422271,1
7.38,716.7335821,22.92405473,259.1768346,1
7.06,687.4877797,26.10880916,374.0454206,1
7.19,674.9841338,13.17073013,333.7053463,1
6.87,592.6963109,26.69189054,337.5814809,1
7.67,530.719731,16.70884669,356.4666212,1
8.2,431.4490795,11.18016749,277.8059172,1
8.23,472.8893458,23.00152068,279.6539129,1
8.14,526.1222455,26.66779543,324.3574892,1
6.93,771.2898258,18.95716113,263.6222517,1
7.38,654.3617359,25.9410922,312.1145019,1
7.16,513.1035216,12.78741073,286.9328453,1
8.45,518.7313773,10.3918624,340.6022627,1
7.33,632.4786102,21.97171863,291.9148674,1
7.09,425.1488976,28.40017614,333.7491623,1
6.68,736.5188011,15.46507346,294.9992351,1
8.09,715.3229732,24.65903229,282.3796906,1
8.25,719.5068357,22.22940259,303.4111365,1
7.3,789.4336749,21.37605707,335.7131939,1
7.47,573.6320064,24.36007637,266.2283088,1
8.1,662.2295352,20.57140313,366.7545778,1
8.12,478.2411635,27.57842448,312.8468687,1
7.16,481.4771728,20.53349037,303.5116728,1
7.25,494.0954745,13.77770422,291.4492825,1
7,412.9458303,29.95606386,395.2573993,1
7.69,511.0423106,21.62761377,291.0915357,1
7.59,525.1078337,20.00715954,382.7046913,1
7.24,455.3713557,13.07547199,256.6246372,1
7.11,712.6491068,29.87501763,347.9677513,1
7.84,517.7372429,12.16036327,286.7971239,1
6.78,524.6539712,15.95373206,342.304042,1
8.24,549.1126567,12.51660509,265.9116325,1
8.02,729.1621301,27.00535832,333.1284316,1
6.99,764.3959447,16.3819542,308.922402,1
6.86,667.0188447,10.68016973,267.8206505,1
7.87,640.8742938,26.46125034,276.2127335,1
8.39,507.3952807,16.40320434,390.4678404,1
8.06,500.9077247,23.86285174,295.0225102,1
7.96,498.7968292,22.72413811,267.6156957,1
7.87,482.5020686,18.97497567,271.8624348,1
7.17,627.3362649,24.30972959,316.0201357,1
7.51,410.3151236,28.00441693,277.8341238,1
6.67,444.9255272,29.79124425,392.2889515,1
6.7,455.205058,29.11629796,335.5336836,1
7.85,614.2021212,29.76079833,277.2908208,1
8.24,740.7909162,28.2025809,281.1767335,1
6.91,640.4707831,17.32425066,281.8719249,1
8.47,480.8331108,17.78370767,292.7730224,1
6.76,606.1408002,15.70234741,395.4905945,1
8.47,493.9085089,17.3972693,340.2637852,1
7.88,779.4863997,15.60088204,295.280166,1
7.98,616.4267538,20.50057756,360.1047241,1
7.57,619.6110721,25.76536968,281.4975179,1
7.71,400.0616727,19.16487087,251.1724223,1
6.87,762.5163809,29.07549842,346.3035725,1
6.74,752.0370056,17.88158974,257.7676579,1
8.43,734.8997186,15.46146556,338.8967286,1
6.96,497.9400391,17.3962095,387.2272871,1
7.61,646.3144966,21.40875274,387.875086,1
8.25,476.4271561,27.91804837,305.4625425,1
8.24,605.6992116,24.55841918,350.3613744,1
8.18,520.3124321,24.94952122,301.7590805,1
7.51,521.3141025,28.05303724,398.3977958,1
8.29,633.6188223,29.08359498,269.8419804,1
6.74,442.6200752,12.70801271,286.0689527,1
7.7,689.7613723,21.6998282,324.7547475,1
6.62,512.8978111,22.55568444,281.9363653,1
7.8,504.2284647,27.38532912,393.4519468,1
7.9,540.0195307,27.79924266,297.4753494,1
7.78,558.378703,15.75727887,391.3738739,1
6.91,696.6434205,11.1758929,393.0462123,1
7.16,423.3630007,22.7190873,299.5016393,1
7.7,786.4738813,17.69639812,345.5665333,1
7.03,568.6766325,24.3754377,351.6076012,1
6.56,418.6322669,21.20091689,290.2821851,1
6.55,751.253632,29.02873175,330.3483165,1
6.77,545.40681,27.87568095,315.8112007,1
8.19,547.0834074,16.617782,250.8896465,1
7.67,672.7352282,24.70281457,307.7942668,1
7.2,635.5828788,24.49648959,265.7047075,1
6.63,703.4246921,29.58746498,380.9557576,1
7.26,529.4714868,16.2796185,315.676317,1
7.61,740.878439,10.43693425,355.1332784,1
8.42,487.947202,11.7906296,354.0438168,1
6.94,709.513093,18.81890131,349.5693248,1
8.16,544.3311336,16.05239571,382.20599,1
7.78,459.0792499,22.19723895,382.0191998,1
6.8,627.7395364,16.71522909,347.8663437,1
7.95,640.6136455,29.15061165,390.2286153,1
8.02,424.0881703,27.5597022,379.9283501,1
7.24,730.8448649,13.90704932,290.8587164,1
6.53,508.1768303,23.87573094,351.649758,1
7.53,414.8688969,21.86026334,262.5331895,1
7.71,481.4528089,22.72302249,255.7344608,1
8.2,548.8336705,12.31027535,395.8803817,1
8.09,456.9719559,29.95996218,393.0305463,1
7.41,552.2414948,17.80425959,266.7715238,1
7.75,707.9813747,21.95976026,355.7173431,1
6.88,720.7841215,17.692802,267.6782349,1
7.38,422.5175532,16.5120381,363.5056973,1
8.24,435.3650577,23.13925464,318.165821,1
6.66,677.5438416,18.04497793,391.1169196,1
7.62,582.8864714,20.28617358,340.5533384,1
6.82,559.5499911,21.23469274,268.265724,1
6.98,638.6236961,23.90895293,335.1405551,1
6.53,435.3090253,26.47396611,308.3303146,1
7.3,610.3007475,28.40998074,392.1983656,1
6.66,609.6335638,17.37161794,397.5994132,1
8.06,791.2312675,17.47986902,308.7238913,1
7.16,544.2006313,24.11021485,290.3371279,1
8.01,404.1194668,10.16077461,320.291534,1
6.74,688.06716,29.84715221,324.9124978,1
7.93,502.0248603,27.34567094,325.871523,1
7.87,760.9028642,21.89701928,273.7053117,1
8.19,438.8892384,22.78315242,323.5658187,1
7.49,497.6547118,13.8915475,292.1678185,1
7.3,557.7324913,24.71985495,313.5120586,1
8.37,733.0320306,26.3862069,325.840392,1
8.08,631.2902048,26.45639639,264.9157514,1
7.28,505.4364781,28.23761512,332.4672124,1
6.86,769.5855494,10.48221822,319.5829868,1
8.23,788.4966919,21.833727,387.5464683,1
7.19,743.1940051,16.90398882,335.3950941,1
7.03,732.6946167,26.83756345,330.8888464,1
6.78,795.6982834,10.3415159,305.7936437,1
7.63,564.9442566,15.01799477,388.8898682,1
6.69,752.5607734,27.70184876,339.0751021,1
7.8,753.7145583,29.85357207,340.1869478,1
8.31,755.6091086,28.62880797,318.0108141,1
7.1,577.7244594,29.6836214,340.3791921,1
7.35,718.6608947,20.90537245,302.5036862,1
8.42,419.0627968,22.41687942,390.4750784,1
7.59,535.8578437,24.97704028,333.5933187,1
7.76,438.8095931,10.51049075,386.2293462,1
8.39,638.7583498,26.48219941,253.5780755,1
7.1,645.4834973,17.43843883,259.5147968,1
7.68,710.5878339,13.48702023,342.7227609,1
6.56,534.9167142,27.01414921,380.0918704,1
8.03,721.2332081,22.85463348,332.5692734,1
6.74,656.6765262,12.61649002,255.8848612,1
7.59,405.7130614,18.17167378,342.0817542,1
8.12,632.6165596,14.70210886,368.3019306,1
7.19,438.8657152,25.08387778,270.5409246,1
6.95,523.0843769,27.16112086,356.1610017,1
7.35,664.5433064,22.8542838,291.338428,1
7.49,707.8358404,28.12448989,387.1863617,1
7.19,613.8545333,21.35252021,339.4491216,1
8.07,673.1070096,27.00664391,327.9947594,1
7,547.386859,20.88790529,343.2579228,1
6.8,438.3029343,10.44337456,279.4515913,1
6.73,698.0696511,15.7196148,275.7787089,1
7.35,602.511765,29.04576092,365.7713465,1
8.14,523.0326495,27.79617731,317.931683,1
6.56,533.1990325,28.70619987,304.4645471,1
6.77,537.5513788,17.65016146,389.7624193,1
7.32,639.2637532,17.29324223,378.6943298,1
7.93,754.8616652,20.75289417,366.2038376,1
8.45,535.66602,25.99769241,310.6746127,1
7.68,757.8608002,27.38994206,361.6250793,1
7.25,506.9977187,23.88162353,274.4028128,1
6.82,442.8923502,26.75950495,267.1443798,1
8.48,724.2320865,22.59786478,396.9672791,1
8.44,759.7019071,17.61189726,366.9085397,1
7.74,404.1807489,11.78388025,397.2002499,1
7.1,439.0725349,14.2391965,275.5347824,1
8.4,586.8730157,10.11196753,255.6340855,1
6.67,544.0666171,20.14620658,325.1915786,1
7.4,403.1460923,16.51852573,399.2826776,1
8.28,783.5732324,23.84795407,394.5377588,1
7.98,697.2522344,28.49290325,280.4128643,1
6.92,762.7267319,12.95034915,372.2088247,1
7.99,549.6804778,20.32482826,295.5916101,1
8.2,419.3228623,22.78179174,259.2131072,1
7.42,693.6269457,24.39531095,256.6196026,1
7.89,663.7809873,26.84707439,288.2365706,1
7.73,566.8310845,26.88779296,257.1486912,1
7.76,673.392293,19.2524546,379.9875851,1
8,574.959359,17.89820087,374.0125675,1
8.19,639.715214,12.17343498,323.6585225,1
6.96,450.7406635,24.05605555,315.7335864,1
7.06,756.0057575,10.51567448,300.1757934,1
6.99,414.4493245,23.3212076,284.5480461,1
7.31,644.896559,22.62473772,323.4746748,1
7.68,571.3775314,16.06140576,250.1986472,1
7.87,713.691732,20.53785151,358.8551241,1
6.61,556.6871472,14.45477685,355.8249221,1
8.14,432.3792218,10.44109319,287.8802359,1
6.68,410.5444534,15.14684378,380.0120987,1
8.16,538.2991076,19.79548558,358.0406692,1
7.6,459.655374,10.51605899,288.4820835,1
8.49,489.2208003,10.70100505,295.9830253,1
7.82,446.1183459,22.07364812,381.6805717,1
7.34,602.4918097,14.04710666,378.279455,1
8.19,741.3671481,14.54228391,382.5644163,1
7.07,654.2547731,25.25848618,251.6340794,1
7.29,687.8146864,17.31812215,387.7258742,1
7.36,561.1846779,21.09546192,252.9066965,1
7.44,794.4431096,14.43454415,292.7034621,1
7.25,437.8139964,24.49683802,371.9867267,1
8.34,667.3829986,10.56532552,266.0582105,1
8.02,682.6862673,10.99483068,377.9563574,1
7.18,674.7895833,21.07397583,375.1622708,1
8.06,428.5350114,13.67893287,377.4975099,1
6.78,639.3275721,22.64353616,295.9351863,1
6.52,781.3963024,13.53843146,262.9621628,1
7.97,709.3549377,13.8187284,368.4588977,1
7.93,405.8865107,11.97273494,305.2354366,1
7.89,455.4312637,17.92838726,337.2359851,1
7.81,456.7485897,27.86100734,305.5503404,1
7.93,560.6521259,26.17772707,341.6566688,1
8.07,604.5450558,20.63413809,291.912978,1
8.41,685.4441478,15.75644786,335.2236245,1
8.35,518.2681234,29.18243832,252.117977,1
8.49,549.5707694,26.70329844,293.9636249,1
7.84,413.9195064,22.89139857,382.9701609,1
8.38,679.6912329,16.81606733,393.5092891,1
6.68,515.6287155,19.36138931,263.863049,1
6.52,701.5085924,15.3756791,383.8186853,1
7.61,779.9120741,23.40048112,306.0392937,1
8.17,622.6113231,17.73913645,326.8203417,1
8.06,450.0074054,16.49058309,340.4540683,1
7.99,569.4092289,21.63629682,349.0347274,1
7.88,510.765745,14.23337806,280.033369,1
7.51,630.0957867,21.50654985,360.8301,1
6.55,664.6654722,19.45822804,302.4217625,1
7.78,537.6395627,16.67499041,286.2439875,1
7.72,625.215554,21.11211872,295.2093629,1
6.98,432.4348914,24.5552757,282.6415456,1
6.75,499.7158241,19.00903829,345.9410987,1
6.77,673.6965092,25.43068087,297.361119,1
7.25,470.6393581,29.57446293,287.654835,1
8.29,657.6317992,10.32667914,288.2911135,1
6.72,627.6926535,22.43911045,381.9004872,1
7.6,542.1014797,16.9732367,254.8118831,1
6.98,774.6352949,14.25231096,359.3037045,1
7.61,446.3352942,25.61048032,251.3283198,1
7.33,706.4252702,17.1107859,392.6706251,1
7.58,515.7787247,22.70851423,378.4208436,1
7.53,611.2696778,27.56043824,272.8331137,1
7.53,757.2224382,16.85660429,267.7214947,1
8.01,436.4379725,10.27067355,345.5255793,1
6.51,471.0639359,13.51868998,394.4737006,1
8.39,623.8251269,13.56423601,283.3861295,1
8.26,589.4483935,10.74412117,266.0862879,1
7.89,673.1649227,12.79483409,292.3102346,1
7.89,758.2476839,28.6973023,392.4677092,1
6.88,712.24664,19.17498496,322.1415983,1
6.62,506.0898391,28.26428228,252.7175747,1
7.78,669.0457877,22.72438071,292.7517116,1
7.44,618.5584271,11.9969982,309.0954519,1
8.1,555.4154474,24.26181334,366.332178,1
7.57,720.8467057,11.76727483,393.2774207,1
8.01,610.8635301,17.03189506,286.1737819,1
7.09,601.4099423,26.12898642,300.9344423,1
7.73,401.3496526,20.13434959,340.1456084,1
8.15,607.4396087,18.87997698,267.6073353,1
7.22,587.432014,15.06400898,316.8801545,1
8.39,585.3609754,26.71016556,364.9136968,1
7,772.2416644,14.42767862,356.283299,1
7.41,631.92944,11.87423559,257.3793686,1
7.94,476.6205916,22.02852381,330.7612981,1
8.13,529.3343305,14.33792665,368.7333989,1
6.59,739.1010605,13.07843116,315.3504563,1
6.76,592.7217918,17.35548537,383.0827753,1
6.71,557.5894159,13.5500443,394.4146132,1
6.71,601.6215713,29.86890967,272.5410061,1
6.71,476.7461822,18.21377538,300.054141,1
7.42,536.6165754,19.21846394,340.6024581,1
6.55,774.8384139,23.36454623,360.7103256,1
8.29,440.596829,10.73032207,376.1790694,1
6.95,500.3638846,29.29315714,278.9843053,1
7,719.991572,17.3324504,260.8240213,1
8.49,510.8192064,22.64589027,293.0559438,1
7.68,643.6140141,17.93414667,370.9452967,1
7.98,573.6078465,24.1228798,394.1788927,1
7.36,443.4521094,14.64797161,271.1830889,1
